date,year,quarter,gap_viog,gap_inv_viog,gap_bhp,gap_cf,gap_bk,gap_bw,gap_kalman,source
1994-01-01,1994,1,-0.04223937729562799,-0.0004348958531359415,-0.01763023424215504,-0.019630695560980627,,0.00022352414399584575,-0.05763299905615504,DANE Cuentas Nacionales
1994-04-01,1994,2,-0.030951450281582638,-0.0009953251157792664,-0.010487198455605196,-0.01693762401721699,,0.00380200118853935,-0.04313547164747611,DANE Cuentas Nacionales
1994-07-01,1994,3,-0.01684264261156798,0.00204892558344838,-0.000442522900474529,-0.010853195412300565,,0.010435275472493899,-0.025897010684984068,DANE Cuentas Nacionales
1994-10-01,1994,4,-0.016586967705539024,-0.0029721503708586283,-0.006604096947331328,-0.003620499594024551,,0.0010991686388202027,-0.025075564698058272,DANE Cuentas Nacionales
1995-01-01,1995,1,-0.003445096197493669,0.0044281417172840065,0.0031610650879514424,0.002472855681174835,,0.007991187976433167,-0.00867655495772901,DANE Cuentas Nacionales
1995-04-01,1995,2,0.0027054243901663,0.0060097528132168065,0.005450591978343411,0.005757346944994524,,0.007743577160326254,-0.0001514984604256142,DANE Cuentas Nacionales
1995-07-01,1995,3,0.002297951287660638,0.002212362778186261,0.0010944195242696964,0.006256672412623843,,0.0012099911712777356,0.001247103936309557,DANE Cuentas Nacionales
1995-10-01,1995,4,0.011086629705616247,0.008252069305887844,0.009521269581028946,0.0047151139230461325,,0.0078366600079125,0.014844185040386648,DANE Cuentas Nacionales
1996-01-01,1996,1,0.004970059106362612,-4.9195513449618034e-05,-0.00027466755836869083,0.0020003456035517786,,-0.0033786253386995924,0.00962034240248677,DANE Cuentas Nacionales
1996-04-01,1996,2,0.00428790958303793,-0.0025276563059346557,-0.0024963275107214855,-0.0017070664247587075,,-0.006632789023688801,0.011278364494264892,DANE Cuentas Nacionales
1996-07-01,1996,3,0.002996590656687559,-0.004970780459489177,-0.004772695003122607,-0.00562118912306353,,-0.00956432329635959,0.012149959881279315,DANE Cuentas Nacionales
1996-10-01,1996,4,0.0014685363806243856,-0.0068879837086299744,-0.007125225374688071,-0.00762985230983837,,-0.01222302780298179,0.012170733542333778,DANE Cuentas Nacionales
1997-01-01,1997,1,-0.0035375300936202336,0.0032361357111163613,-0.014103604428079564,-0.004729915252148942,0.006820683443573117,-0.019209152916950245,0.0067384509005954385,DANE Cuentas Nacionales
1997-04-01,1997,2,0.023195123304045495,0.015836020498033676,0.016160245435834497,0.004808195422372208,0.01763208970310437,0.01126905122992028,0.03760897897395843,DANE Cuentas Nacionales
1997-07-01,1997,3,0.030199498864508456,0.025714760891707655,0.02148194933519143,0.018748057578163113,0.032176795453318974,0.016912977678686048,0.04266913963724228,DANE Cuentas Nacionales
1997-10-01,1997,4,0.03814192925802651,0.03446761136972931,0.02889928450977841,0.03105684031495315,0.04326651602289999,0.02466546362426314,0.0489111240862421,DANE Cuentas Nacionales
1998-01-01,1998,1,0.04068303086799396,0.03704087018552826,0.03269707692404289,0.034477401496705085,0.04464622114567085,0.028746081726444217,0.050651188139058334,DANE Cuentas Nacionales
1998-04-01,1998,2,0.037230881348110145,0.03251465879976756,0.03379977426685521,0.02511991957352855,0.033618515438782026,0.030058667708482645,0.048902090311781166,DANE Cuentas Nacionales
