t,PIB,Potential_PIB,bkt_PIB,cft_PIB,bwt_PIB,hpt_PIB,kalmant_PIB,lnPIB,lnPotential_PIB,lnbkt_PIB,lncft_PIB,lnbwt_PIB,lnhpt_PIB,lnkalmant_PIB,gap_bk,gap_cf,gap_bw,gap_hp,gap_kalman,gap_potential,Variation
1949Q1,2182.681,2244.696747092369,,2187.5847978368365,2191.735085363782,2114.6162697322193,2054.0910878386035,7.688309216692008,7.716325711806171,,7.690553382205848,7.692448785547073,7.656628642268742,7.627588736067348,,-0.0022441655138401018,-0.004139568855065612,0.031680574423265995,0.060720480624659956,-0.028016495114163043,
1949Q2,2176.892,2275.992395593459,,2196.2198340627715,2205.014180922767,2139.870603638243,2041.846904749097,7.68565345044952,7.730171454112986,,7.6944929042050525,7.698489219117756,7.6685006405981735,7.621610022725488,,-0.008839453755532745,-0.012835768668236547,0.017152809851346262,0.06404342772403204,-0.04451800366346603,
1949Q3,2172.432,2308.797507930488,,2197.4171636195997,2218.286175303355,2165.1674780006824,2034.256979503718,7.683602556304456,7.744482108640337,,7.695037933112584,7.7044901836195985,7.6802529944888835,7.617885910566932,,-0.011435376808127451,-0.020887627315142154,0.003349561815572777,0.065716645737524,-0.06087955233588094,
1949Q4,2206.452,2340.253351151812,,2220.604021903797,2231.8901067890865,2190.5725716486786,2068.5493789448337,7.699141074564077,7.7580144722140005,,7.705534519797395,7.710604086979555,7.6919182368803165,7.634602857477709,,-0.006393445233317863,-0.011463012415478424,0.007222837683760197,0.06453821708636731,-0.05887339764992383,
1950Q1,2239.682,2373.175207794116,,2230.124560326341,2246.1529635698735,2216.1561037376227,2105.4473976401023,7.714089170485488,7.77198408758886,,7.709812719542823,7.716974237863538,7.7035294893110375,7.652283263979565,,0.004276450942665377,-0.0028850673780498326,0.01055968117445083,0.061805906505923325,-0.05789491710337202,0.026115130887197857
1950Q2,2276.69,2405.76009303325,,2245.815262918732,2261.379574910201,2241.9982180656248,2149.4287164104744,7.730477912746109,7.785621179606801,,7.716823880321031,7.7237303374050805,7.7151228088350114,7.672957372516222,,0.013654032425078455,0.0067475753410288775,0.015355103911097956,0.05752054022988773,-0.05514326686069193,0.04584425869542463
1950Q3,2289.77,2437.705949082133,,2257.585295425314,2277.843403042414,2268.193762115957,2172.615630405531,7.736206654822961,7.798812691233891,,7.722051067711512,7.73098439846704,7.726739094230176,7.683687080305693,,0.01415558711144893,0.005222256355921218,0.009467560592785418,0.05251957451726863,-0.06260603641092999,0.054012277484404736
1950Q4,2292.364,2470.004369447654,,2286.278168021732,2295.778519288611,2294.8592657356,2188.2012730175434,7.737338878488664,7.811975198627605,,7.73468052025104,7.73882728906206,7.738426798494803,7.690835148807232,,0.002658358237624725,-0.001488410573395882,-0.0010879200061388872,0.04650372968143213,-0.07463632013894106,0.03893671831519563
1951Q1,2260.807,2502.161910107127,,2299.203779656977,2315.3730008549287,2322.124743920213,2172.2007480589373,7.723477108174585,7.82491040120614,,7.740318159224321,7.747326077020792,7.7502378834333525,7.683496102224358,,-0.016841051049736322,-0.02384896884620691,-0.026760775258767744,0.03998100595022702,-0.10143329303155557,0.009432142598815307
1951Q2,2253.128,2534.281180095102,,2334.003102961795,2336.7639302224097,2350.1186521243717,2182.26000020392,7.720074751956478,7.837665317667182,,7.755340142306541,7.756522315411099,7.762221096129304,7.688116316124799,,-0.035265390350063264,-0.03644756345462152,-0.042146344172826034,0.03195843583167868,-0.11759056571070392,-0.010349235073725427
