Date,inflation_gap,inflation_gap_change,inflation_gap_change_lag1,inflation_gap_change_lag2,unemployment_current,unemployment_lag1,unemployment_lag2,unemployment_hysteresis_24m_avg,icu_current,icu_lag1,oil_shock,expected_inflation_term,expected_inflation_fisher_12m_ahead,expected_inflation_current_period,nairu_estimate,nairu_se,nairu_ci_lower_90,nairu_ci_upper_90,nairu_ci_lower_95,nairu_ci_upper_95,naicu_estimate,naicu_se,naicu_ci_lower_90,naicu_ci_upper_90,naicu_ci_lower_95,naicu_ci_upper_95,unemployment_gap,icu_gap
2004-01-01,-0.09999999999999964,-0.3099999999999996,0.03000000000000025,-0.25,15.1,13.5,13.7,14.854166666666666,71.95874923063522,74.14911698771881,3.4698712795862896,0.9205996894795438,7.188655197503668,6.630599689479544,11.534947255769588,2.5334633872702135,7.367770814469415,15.70212369706976,6.569450260569118,16.500444250970055,77.37704178771614,3.3768958121882373,71.82254246320107,82.9315411122312,70.75844761628306,83.99563595914921,3.565052744230412,-5.4182925570809175
2004-02-01,-0.2699999999999996,-0.16999999999999993,-0.3099999999999996,0.03000000000000025,14.4,15.1,13.5,14.833333333333334,73.88843764219675,71.95874923063522,-1.0469730533336108,2.2279884232799185,7.050761172842535,7.627988423279919,11.93428591597783,2.1660337486350807,8.371477448436124,15.497094383519535,7.688937779354787,16.17963405260087,76.7036947805566,2.8851455745460743,71.95805261798151,81.4493369431317,71.04891336429118,82.35847619682202,2.4657140840221707,-2.815257138359854
2004-03-01,-0.4500000000000002,-0.1800000000000006,-0.16999999999999993,-0.3099999999999996,14.0,14.4,15.1,14.816666666666665,75.37931160857924,73.88843764219675,7.576289624136612,1.77188493649847,6.409755577850174,7.00188493649847,12.306830096725404,1.8652697431203258,9.238734394511095,15.374925798939714,8.650968578757288,15.96269161469352,76.33141266971833,2.4823364346629226,72.24833258184924,80.41449275758742,71.46612266026744,81.19670267916922,1.6931699032745957,-0.9521010611390892
2004-04-01,-0.5499999999999998,-0.09999999999999964,-0.1800000000000006,-0.16999999999999993,14.2,14.0,14.4,14.741666666666667,74.35966138063122,75.37931160857924,0.7449963805522763,1.5943101770209847,5.769109508311243,6.6443101770209845,12.662497652617647,1.613631146783788,10.00831060826847,15.316684696966824,9.499838720589358,15.825156584645937,76.14765236801351,2.1454343221263055,72.61872694187788,79.67657779414914,71.94267836544985,80.35262637057717,1.5375023473823521,-1.7879909873822868
2004-05-01,-0.71,-0.16000000000000014,-0.09999999999999964,-0.1800000000000006,14.1,14.2,14.0,14.695833333333333,75.27294281827773,74.35966138063122,12.045698000640082,0.8879277870733713,5.1778850986229585,5.8379277870733715,12.90584734085754,1.4002811021607906,10.602589891216757,15.209104790498321,10.161346812390338,15.65034786932474,75.93533320092466,1.8601300610370228,72.87569152342645,78.99497487842287,72.28954527473181,79.58112112711751,1.1941526591424605,-0.6623903826469331
2004-06-01,-0.7199999999999998,-0.009999999999999787,-0.16000000000000014,-0.09999999999999964,14.0,14.1,14.2,14.633333333333333,74.07721699281402,75.27294281827773,-4.641221897163428,0.7261401921387964,4.824754503167994,5.5161401921387965,13.17296905524553,1.2178599913459442,11.169767631361065,15.176170479129993,10.786007333995217,15.559930776495841,75.78811172433339,1.6166515632437997,73.12895653701506,78.44726691165172,72.61953288482516,78.95669056384162,0.8270309447544708,-1.7108947315193745
2004-07-01,-0.6399999999999997,0.08000000000000007,-0.009999999999999787,-0.16000000000000014,12.9,14.0,14.1,14.5625,76.10453880982449,74.07721699281402,5.895167240899735,0.29840216430637234,5.758685052016266,5.078402164306373,13.394372221581717,1.0610188955211757,11.649151443019665,15.139593000143769,11.314813399443747,15.473931043719688,75.51019194993417,1.4078609560559103,73.19446675012223,77.8259171497461,72.75083518082445,78.26954871904388,-0.4943722215817168,0.5943468598903223
2004-08-01,-0.75,-0.11000000000000032,0.08000000000000007,-0.009999999999999787,13.0,12.9,14.0,14.458333333333334,77.75549626587822,76.10453880982449,10.297626349540767,0.2234490950453889,5.708447618872303,5.083449095045389,13.489318061857272,0.9256760175398038,11.96671650702493,15.011919616689614,11.67502640612679,15.303609717587754,75.63662385432974,1.2282892902788545,73.61626776026891,77.65697994839057,73.22922108278692,78.04402662587256,-0.4893180618572721,2.1188724115484803
2004-09-01,-0.7800000000000002,-0.03000000000000025,-0.11000000000000032,0.08000000000000007,12.7,13.0,12.9,14.337499999999999,76.34426654214413,77.75549626587822,2.607565379294119,1.036261080657118,5.481925058341752,5.786261080657118,13.585335863262735,0.8086052570010188,12.255298573512581,14.915373153012888,12.000498681830983,15.170173044694486,75.9228856144074,1.0736014772889788,74.15696833058817,77.68880289822664,73.81866538517201,78.0271058436428,-0.8853358632627355,0.4213809277367204
2004-10-01,-0.8899999999999997,-0.10999999999999943,-0.03000000000000025,-0.11000000000000032,13.2,12.7,13.0,14.237500000000002,76.55524018894336,76.34426654214413,14.162479653308857,1.5555283350809157,6.098767477788769,6.2755283350809155,13.65613025476551,0.707191437966314,12.49290385307759,14.819356656453428,12.270060506176442,15.042200003354576,75.99179301976322,0.940276782865948,74.4451753431279,77.53841069639854,74.14888438984677,77.83470164967967,-0.45613025476550995,0.5634471691801366
