iso3,Country,year,avh,ccon,cda,cgdpe,cgdpo,ck,cn,cor_exp,csh_c,csh_g,csh_i,csh_m,csh_r,csh_x,ctfp,cwtfp,delta,emp,hc,irr,labsh,pl_c,pl_con,pl_da,pl_g,pl_gdpo,pl_i,pl_k,pl_m,pl_n,pl_x,pop,rconna,rdana,rgdpe,rgdpna,rgdpo,rkna,rnna,rtfpna,rwtfpna,xr
COL,Colombia,1950,2786.89,37977.30078125,50261.81640625,45024.46875,44851.94140625,,198681.09375,,0.784818649291992,0.0619072876870632,0.273890376091003,-0.0869028270244598,-0.11372371762991,0.0800102055072784,,,0.0327303260564804,3.42831301689148,1.44564461708069,0.230329722166061,0.47197362780571,0.138081444692243,0.135791212320328,0.127382054924965,0.106757277173279,0.127872049808502,0.101385300518359,,0.0905482918024063,0.0551099292933941,0.0941957831382752,11.257437789049,42017.82421875,50032.90625,44898.11328125,49730.36328125,45118.94140625,,143208.3125,,,1.949936866485
COL,Colombia,1951,2774.03,38317.734375,50467.55078125,45443.828125,45539.35546875,,206160.171875,,0.771763265132904,0.0696569532155991,0.266798198223114,-0.0925230383872986,-0.108951672911644,0.0932562649250031,,,0.0326136164367199,3.49751305580139,1.459104180336,0.235521093010902,0.47197362780571,0.129389172130107,0.1262296885252,0.116370417177677,0.0912242952653323,0.116126298904419,0.0852765143316986,,0.0971951857209206,0.0475064516067505,0.0944431275129318,11.620015796168,42467.2890625,50045.81640625,45042.55078125,50900.3203125,45796.01953125,,151784.46875,,,2.40069159007874
COL,Colombia,1952,2761.23,41168.546875,54087.09375,48637.52734375,48830.77734375,,218266.953125,,0.772534608840942,0.0705514326691628,0.264557480812073,-0.082212932407856,-0.109112001955509,0.0836813524365425,,,0.0326217040419579,3.56704139709473,1.47268915176392,0.2321587651968,0.47197362780571,0.12399853387974,0.121137715876102,0.112396501004696,0.0898118708894062,0.111951686441898,0.0845401974513259,,0.102633386850357,0.0468648448586464,0.0969091951847076,11.9946637448643,45405.36328125,53455.58203125,48010.58984375,54268.15625,48860.4921875,,160910.5,,,2.5106315630252
COL,Colombia,1953,2748.49,44315.4453125,59018.421875,53301.26171875,53155.89453125,,232363.703125,,0.754856288433075,0.0788319706916809,0.276601076126099,-0.0968772172927856,-0.103905811905861,0.0904937461018562,,,0.0329506285488606,3.63104104995728,1.48640060424805,0.258862912654877,0.47197362780571,0.128584150841505,0.125106811523438,0.114162884652615,0.0918095810499081,0.114475093781948,0.0811773873384133,,0.104477092623711,0.0445562563836575,0.107602328062058,12.3820114356497,48476.94140625,57912.0078125,52638.09375,58528.79296875,53073.609375,,172045,,,2.5106315630252
COL,Colombia,1954,2735.81,47751.9765625,65578.328125,58792.234375,57991.328125,0.019324004650116,252225.328125,,0.748597741127014,0.0748352780938149,0.307396858930588,-0.0967139005661011,-0.107977949082851,0.0738619491457939,0.552515149116516,0.624545514583588,0.0335081219673157,3.69552993774414,1.50023972988129,0.265631377696991,0.47197362780571,0.139779761511833,0.136628836393356,0.123279929161072,0.105109204026147,0.1249825283885,0.0875218300217286,1.39858281612396,0.114141337573528,0.0478364378213882,0.136854037642479,12.7825052859462,52331.9921875,64039.71484375,58327.62890625,63028.14453125,58131.00390625,0.0520174391567707,186641.921875,0.986784994602203,0.950251758098602,2.5106315630252
COL,Colombia,1955,2723.18,49568.37890625,68349.9140625,60156.3203125,59858.87109375,0.0200560167431831,271759.09375,,0.750946521759033,0.0771409273147583,0.313763618469238,-0.0971705466508865,-0.116521291434765,0.071840763092041,0.529403686523438,0.604190468788147,0.0339003764092922,3.77015423774719,1.51420760154724,0.239455312490463,0.47197362780571,0.141100511895477,0.138026863336563,0.125550791621208,0.108105780985943,0.126174673438072,0.0926238141959346,1.25330674648285,0.112402282655239,0.050423126667738,0.117462478578091,13.1966130152516,54582.3984375,66988.7109375,60003.8046875,65726.6015625,60331.28125,0.0563147999346256,201757.390625,0.975387692451477,0.942191064357758,2.5106315630252
COL,Colombia,1956,2710.61,49745.9375,68782.4765625,61298.83984375,61011.53515625,0.0208565164357424,291166.78125,,0.741810083389282,0.0735429599881172,0.312015384435654,-0.085934653878212,-0.112694263458252,0.0712605342268944,0.511772274971008,0.579047441482544,0.0339950919151306,3.84954786300659,1.52740108966827,0.217142060399055,0.47197362780571,0.154962264082838,0.151279255747795,0.138104572892189,0.114129575563701,0.138754919171333,0.103676772593083,1.32748222351074,0.123398631811142,0.0573612041771412,0.130525067448616,13.624816235722,55281.53125,67669.734375,61291.25,67412.375,61679.18359375,0.0603026710450649,216162.8125,0.95363986492157,0.907278299331665,2.5106315630252
COL,Colombia,1957,2698.11,50169.37109375,67590.453125,60869.68359375,60752.3125,0.0209901910275221,297786.65625,,0.759395718574524,0.0664061307907105,0.28675588965416,-0.0730044171214104,-0.10990334302187,0.0703500062227249,0.49159562587738,0.550608277320862,0.0333601646125317,3.92877316474915,1.54070961475372,0.166540667414665,0.47197362780571,0.116222297252025,0.114020891487598,0.109810151159763,0.0888463962801483,0.11002229899168,0.0976840436289453,0.982299327850342,0.124852195382118,0.0535416454076767,0.128766790032387,14.06832175628,56104.9296875,67022.21875,60893.859375,67763.21875,61516.578125,0.0634298846125603,227867.140625,0.922652661800385,0.864896774291992,3.79793054323015
COL,Colombia,1958,2685.65,51244.3203125,66184.9140625,60358.47265625,60797.6875,0.0204152632504702,301441.90625,,0.772546350955963,0.0703199058771133,0.245742827653885,-0.0582739785313606,-0.102525629103184,0.072190523147583,0.48643296957016,0.528222441673279,0.0322980806231499,4.00957632064819,1.55413401126862,0.143590793013573,0.47197362780571,0.0784228019024861,0.0767544209957123,0.076115608215332,0.0584253272167902,0.0755657255649567,0.0739245454091067,0.678627610206604,0.124768175184727,0.0398332104086876,0.106991186738014,14.5269878718101,57091.11328125,65786.796875,60388.01171875,68437.703125,61468.91796875,0.0654859468340874,235389.625,0.905778110027313,0.825213670730591,6.40151138862358
COL,Colombia,1959,2673.26,53769.75390625,69400.9921875,63313.6171875,64281.0234375,0.0200859922915697,318060.875,,0.769067704677582,0.0674116909503937,0.24317030608654,-0.0555763691663742,-0.102789811789989,0.078716441988945,0.494292676448822,0.532508254051209,0.0313172899186611,4.08767509460449,1.56767535209656,0.149998098611832,0.47197362780571,0.0851527257547898,0.0835948958992958,0.0828853920102119,0.0658223604471988,0.0816380009055138,0.0804447836926681,0.714071750640869,0.127847045660019,0.0426372922956944,0.0971542671322823,15.0013573221654,60034.23828125,69206.3984375,63529.328125,73020.859375,65111.43359375,0.0676131993532181,243766.84375,0.939848840236664,0.844225764274597,6.40151138862358
