date,year,quarter,gdp_observed,source,download_date
2022-04-01,2022,2,243436.201,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2022-07-01,2022,3,245182.7627,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2022-10-01,2022,4,244485.9381,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2023-01-01,2023,1,246017.7267,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2023-04-01,2023,2,244468.8669,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2023-07-01,2023,3,244178.5966,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2023-10-01,2023,4,246177.8098,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2024-01-01,2024,1,246721.9338,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2024-04-01,2024,2,248617.8079,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2024-07-01,2024,3,248237.3609,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2024-10-01,2024,4,251912.8973,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2025-01-01,2025,1,253089.4119,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2025-04-01,2025,2,253990.2704,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2025-07-01,2025,3,257201.0399,DANE - Cuentas Nacionales Trimestrales,2026-05-05
2025-10-01,2025,4,257510.2116,DANE - Cuentas Nacionales Trimestrales,2026-05-05
